Recency,Frequency,Monetary
2.3345741373435525,-0.4250965025587132,8.363010369638731
-0.9053403195403357,0.35441679662391234,0.25169890463901645
-0.17535959314365723,-0.03533985296740041,-0.02798782686310067
-0.7353448079137119,-0.4250965025587132,-0.03240558517400941
2.1745783616949654,-0.4250965025587132,-0.19081154990491803
-0.5653492962870882,0.4843356798210166,0.05090627973231655
1.114606348023076,-0.4250965025587132,-0.2181261855687377
1.3945989554081033,-0.4250965025587132,-0.1078881449760441
1.2146037078034428,-0.4250965025587132,-0.17689822693027474
-0.6953458640015652,-0.16525873616450468,0.08489819735812702
-0.5953485042211982,-0.4250965025587132,0.46292206951334686
-0.9053403195403357,-0.2951776193616089,-0.09801970325658912
-0.345355104770281,-0.03533985296740041,0.47431541143082273
-0.4053535206385011,-0.16525873616450468,0.06827233293634731
1.9445844342001213,-0.4250965025587132,-0.20689535126360564
-0.8953405835622991,0.7441734462152251,0.35368133591147577
0.17463116608762697,-0.2951776193616089,-0.16659123727065903
-0.8453419036721156,-0.03533985296740041,-0.08187579634265105
1.9845833781122681,-0.2951776193616089,-0.15664265481087009
-0.8853408475842623,-0.4250965025587132,-0.20923278952334573
-0.4153532566165378,-0.03533985296740041,0.16620876988778033
-0.47535167248475796,-0.2951776193616089,-0.017890093581023565
-0.2053588010777673,-0.16525873616450468,-0.08355207349463606
2.184578097673002,-0.4250965025587132,-0.18745009107424424
-0.6753463920454919,-0.4250965025587132,-0.1453394712262699
-0.8153426957380054,-0.2951776193616089,-0.17710970943948934
2.2245770415851487,-0.2951776193616089,-0.04681199631487405
0.3746258856483608,-0.4250965025587132,0.2181533264142325
-0.1053614412974004,-0.2951776193616089,-0.13317254855140384
-0.7053455999796019,-0.03533985296740041,0.07525682106961823
-0.8753411116062256,0.09457903022970385,-0.02263731937997186
0.9246113644403788,0.09457903022970385,-0.022052959815036844
-0.6353474481333451,-0.2951776193616089,-0.16288806722772797
2.4545709690799926,-0.2951776193616089,-0.18329835549861065
-0.7653440158478221,0.2244979134268081,0.08147329377468888
-0.1253609132534738,-0.4250965025587132,-0.16683165949166084
-0.7053455999796019,-0.4250965025587132,-0.17909541889443042
-0.2053588010777673,-0.03533985296740041,-0.05187867200932014
-0.28535668890206084,-0.2951776193616089,-0.08639706977649111
-0.7353448079137119,1.0040112126094336,0.10796092152089574
-0.5653492962870882,-0.2951776193616089,0.04020526476605893
-0.4653519365067213,-0.4250965025587132,-0.04597274467304355
0.2646287898899572,-0.03533985296740041,-0.10463242739997757
2.1045802098487085,-0.4250965025587132,-0.2186493265125843
2.3045749294094424,-0.4250965025587132,-0.20292170622204755
-0.42535299259457454,-0.4250965025587132,-0.1804266456366443
0.5646208692310579,-0.4250965025587132,-0.03765480366588281
-0.7053455999796019,-0.2951776193616089,0.15211290411570974
-0.42535299259457454,0.09457903022970385,-0.037907469611102355
-0.5953485042211982,0.09457903022970385,0.09348216110056297
-0.13536064923151048,-0.16525873616450468,1.0044285996864633
2.1645786257169286,-0.2951776193616089,-0.15086027778260835
-0.17535959314365723,-0.16525873616450468,-0.09147264999764097
-0.25535748096795075,-0.16525873616450468,-0.1436509503500672
1.2446029157375529,-0.16525873616450468,-0.16543253573333072
-0.6853461280235285,2.1732811613833722,13.67577712939945
-0.8953405835622991,0.6142545630181209,0.1781363834074825
0.20463037402173703,-0.4250965025587132,-0.15361511573158773
-0.28535668890206084,-0.4250965025587132,-0.16120511168071514
-0.7653440158478221,-0.03533985296740041,-0.13820360613903485
0.03463486239511329,-0.16525873616450468,-0.13859095305064892
-0.9153400555183724,0.4843356798210166,-0.021079027206811814
0.7046171729235716,-0.2951776193616089,-0.032026029723261136
-0.14536038520954717,-0.4250965025587132,-0.14152499459954168
1.0246087242207458,-0.4250965025587132,-0.16317078595057272
-0.7053455999796019,-0.16525873616450468,-0.13611549462700037
-0.6653466560674551,0.6142545630181209,0.6575739101919582
-0.8353421676940789,-0.03533985296740041,0.18941174034613342
-0.49535114444083134,-0.4250965025587132,-0.19949346344109542
-0.5653492962870882,1.3937678622007466,0.48655023112180507
-0.49535114444083134,0.09457903022970385,0.335103154009894
-0.9153400555183724,0.35441679662391234,1.2607899234880504
-0.07536223336329032,-0.2951776193616089,-0.1383037820644523
-0.1253609132534738,-0.2951776193616089,0.6434858358807535
0.07463380630726006,-0.4250965025587132,-0.17137630730809833
-0.9053403195403357,1.7835245117920593,0.32309206055234396
-0.7853434878038954,-0.2951776193616089,0.09551907158405072
2.744563312443056,-0.4250965025587132,-0.208715213908689
-0.8953405835622991,-0.4250965025587132,-0.20888106071854676
-0.7153453359576386,0.09457903022970385,0.3291081814065797
-0.7053455999796019,-0.4250965025587132,-0.2131841732481444
-0.345355104770281,-0.4250965025587132,-0.11646876952096612
1.5045960511665069,-0.4250965025587132,-0.17499599741318153
-0.4853514084627947,-0.4250965025587132,-0.17800572743905635
-0.7053455999796019,-0.03533985296740041,0.22468368368561106
0.6346190210773148,-0.2951776193616089,-0.20600712472490443
-0.8153426957380054,0.09457903022970385,0.7776803925041068
-0.7553442798697854,-0.2951776193616089,-0.18010719574114645
0.41462482956050756,-0.4250965025587132,-0.1493286991895596
-0.36535457672635435,-0.4250965025587132,0.16469500034813914
-0.1953590650997306,0.2244979134268081,0.046545287779144386
-0.4853514084627947,-0.16525873616450468,0.12603822379539023
-0.26535721694598746,0.35441679662391234,0.03501058650024611
-0.215358537055804,-0.2951776193616089,-0.12258061403726739
0.014635390439039907,-0.2951776193616089,-0.13599528351649945
-0.7353448079137119,-0.2951776193616089,-0.09562327250743657
-0.39535378466046445,-0.03533985296740041,-0.07834960376795745
-0.8253424317160422,0.4843356798210166,-0.09312332663535267
-0.7553442798697854,-0.2951776193616089,-0.14542183809827977
0.9546105723744889,-0.2951776193616089,-0.1468298663833137
-0.9053403195403357,3.34255111015731,1.9745745579307137
-0.6053482401992349,0.35441679662391234,0.5034866409123788
